频道名,地址,回播地址,回播类型,回播天数,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件
IPTV法治,rtsp://222.132.188.139:1554/iptv/import/Tvod/iptv/001/001/ch13031310542255942002.rsc/93033_Uni.sdp,,,,,IPTV法治,,,https://fastly.jsdelivr.net/gh/plsy1/iptv@master/logo/IPTV法治.png,轮播频道,,3jnltdb.m3u
爱体育,rtsp://222.132.188.139:1554/iptv/import/Tvod/iptv/001/001/ch17120418224162657206.rsc/93384_Uni.sdp,,,,,爱体育,,,https://fastly.jsdelivr.net/gh/plsy1/iptv@master/logo/爱体育.png,轮播频道,,3jnltdb.m3u
爱生活,rtsp://222.132.188.144:1554/iptv/import/Tvod/iptv/001/001/ch15090915560951747742.rsc/93112_Uni.sdp,,,,,爱生活,,,https://fastly.jsdelivr.net/gh/plsy1/iptv@master/logo/爱生活.png,轮播频道,,3jnltdb.m3u
爱综艺,rtsp://112.245.125.73:1554/iptv/import/Tvod/iptv/001/001/ch11061217211688091136.rsc/77605_Uni.sdp,,,,,爱综艺,,,https://fastly.jsdelivr.net/gh/plsy1/iptv@master/logo/爱综艺.png,轮播频道,,3jnltdb.m3u
爱体育,rtsp://222.132.188.139:1554/iptv/import/Tvod/iptv/001/001/ch11060317323358720349.rsc/93019_Uni.sdp,rtsp://222.132.188.137:1554/iptv/Tvod/iptv/001/001/ch11060317323358720349.rsc?tvdr=${(b)yyyyMMddHHmmss|UTC}GMT-${(e)yyyyMMddHHmmss|UTC}GMT,default,,,爱体育,,,https://fastly.jsdelivr.net/gh/plsy1/iptv@master/logo/爱体育.png,轮播频道,,3jnltdb.m3u
爱电影,rtsp://112.245.125.73:1554/iptv/import/Tvod/iptv/001/001/ch11061217105732492560.rsc/77706_Uni.sdp,,,,,爱电影,,,https://fastly.jsdelivr.net/gh/plsy1/iptv@master/logo/爱电影.png,轮播频道,,3jnltdb.m3u
爱大剧,rtsp://112.245.125.71:1554/iptv/import/Tvod/iptv/001/001/ch11061217231007675294.rsc/77717_Uni.sdp,,,,,爱大剧,,,https://fastly.jsdelivr.net/gh/plsy1/iptv@master/logo/爱大剧.png,轮播频道,,3jnltdb.m3u
海看演艺,rtsp://222.132.188.145:1554/iptv/import/Tvod/iptv/001/001/ch23112315513709014787.rsc/99849_Uni.sdp,,,,,海看演艺,,,https://fastly.jsdelivr.net/gh/plsy1/iptv@master/logo/海看演艺.png,轮播频道,,3jnltdb.m3u
收视指南,rtsp://112.245.125.71:1554/iptv/import/Tvod/iptv/001/001/ch11061217035832697899.rsc/77589_Uni.sdp,,,,,收视指南,,,https://fastly.jsdelivr.net/gh/plsy1/iptv@master/logo/收视指南.png,轮播频道,,3jnltdb.m3u
书画,rtsp://222.132.188.145:1554/iptv/import/Tvod/iptv/001/001/ch21092610331127874295.rsc/93405_Uni.sdp,,,,,书画,,,https://fastly.jsdelivr.net/gh/plsy1/iptv@master/logo/书画.png,其他频道,,3jnltdb.m3u
优优宝贝,rtsp://222.132.188.144:1554/iptv/import/Tvod/iptv/001/001/ch22122209132553924896.rsc/98123_Uni.sdp,,,,,优优宝贝,,,https://fastly.jsdelivr.net/gh/plsy1/iptv@master/logo/优优宝贝.png,其他频道,,3jnltdb.m3u
优漫卡通,rtsp://222.132.188.139:1554/iptv/import/Tvod/iptv/001/001/ch11042914374730524823.rsc/93076_Uni.sdp,rtsp://112.245.125.73:1554/iptv/Tvod/iptv/001/001/ch11042914374730524823.rsc?tvdr=${(b)yyyyMMddHHmmss|UTC}GMT-${(e)yyyyMMddHHmmss|UTC}GMT,default,,,优漫卡通,,,https://fastly.jsdelivr.net/gh/plsy1/iptv@master/logo/优漫卡通.png,其他频道,,3jnltdb.m3u
嘉佳卡通,rtsp://112.245.125.71:1554/iptv/import/Tvod/iptv/001/001/ch15050917541249689380.rsc/77700_Uni.sdp,rtsp://112.245.125.70:1554/iptv/Tvod/iptv/001/001/ch15050917541249689380.rsc?tvdr=${(b)yyyyMMddHHmmss|UTC}GMT-${(e)yyyyMMddHHmmss|UTC}GMT,default,,,嘉佳卡通,,,https://fastly.jsdelivr.net/gh/plsy1/iptv@master/logo/嘉佳卡通.png,其他频道,,3jnltdb.m3u
发现之旅,rtsp://222.132.188.144:1554/iptv/import/Tvod/iptv/001/001/ch24012314294218176484.rsc/100114_Uni.sdp,rtsp://222.132.188.144:1554/iptv/Tvod/iptv/001/001/ch24012314294218176484.rsc?tvdr=${(b)yyyyMMddHHmmss|UTC}GMT-${(e)yyyyMMddHHmmss|UTC}GMT,default,,,发现之旅,,,https://fastly.jsdelivr.net/gh/plsy1/iptv@master/logo/发现之旅.png,其他频道,,3jnltdb.m3u
中学生,rtsp://222.132.188.137:1554/iptv/import/Tvod/iptv/001/001/ch24012314300175015886.rsc/100066_Uni.sdp,rtsp://222.132.188.137:1554/iptv/Tvod/iptv/001/001/ch24012314300175015886.rsc?tvdr=${(b)yyyyMMddHHmmss|UTC}GMT-${(e)yyyyMMddHHmmss|UTC}GMT,default,,,中学生,,,https://fastly.jsdelivr.net/gh/plsy1/iptv@master/logo/中学生.png,其他频道,,3jnltdb.m3u
